State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,State Population,Vaccine Doses (in 1000s),GDP Cr (2018-2019)
Andaman and Nicobar,7620,9,7482,129,0.12,98.19,1.69,417036.00,438.5,
Andhra Pradesh,2049314,11655,2023496,14163,0.57,98.74,0.69,53903393.00,39736.49,862957.00
Arunachal Pradesh,54572,440,53856,276,0.81,98.69,0.51,1570458.00,1148.69,24603.00
Assam,601787,4487,591432,5868,0.75,98.28,0.98,35607039.00,23634.74,315881.00
Bihar,725952,55,716237,9660,0.01,98.66,1.33,124799926.00,53814.7,530363.00
Chandigarh,65224,42,64363,819,0.06,98.68,1.26,1158473.00,1331.72,42114.00
Chhattisgarh,1005325,285,991475,13565,0.03,98.62,1.35,29436231.00,18021.68,304063.00
Dadra and Nagar Haveli and Daman and Diu,10670,0,10666,4,0,99.96,0.04,615724.00,905.52,
Delhi,1438821,392,1413342,25087,0.03,98.23,1.74,18710922.00,17377.05,774870.00
Goa,176318,830,172176,3312,0.47,97.65,1.88,1586250.00,1888.34,73170.00
Gujarat,825916,156,815678,10082,0.02,98.76,1.22,63872399.00,60058.79,1502899.00
Haryana,770863,278,760711,9874,0.04,98.68,1.28,28204692.00,22423.24,734163.00
Himachal Pradesh,218898,1793,213430,3675,0.82,97.5,1.68,7451955.00,8279.23,153845.00
Jammu and Kashmir,329320,1388,323510,4422,0.42,98.24,1.34,13606320.00,11079.36,155956.00
Jharkhand,348215,78,343002,5135,0.02,98.5,1.47,38593948.00,17416.94,297204.00
Karnataka,2975067,12594,2924693,37780,0.42,98.31,1.27,67562686.00,54920.67,1493127.00
Kerala,4664944,144075,4495904,24965,3.09,96.38,0.54,35699443.00,35174.86,781653.00
Ladakh,20795,73,20515,207,0.35,98.65,1,289023.00,338.06,
Lakshadweep,10361,4,10306,51,0.04,99.47,0.49,73183.00,95.65,
Madhya Pradesh,792519,115,781882,10522,0.01,98.66,1.33,85358965.00,62384.64,809592.00
Maharashtra,6547793,40252,6368530,139011,0.61,97.26,2.12,123144223.00,79378.46,2632792.00
Manipur,120426,2207,116365,1854,1.83,96.63,1.54,3091545.00,1681.85,27870.00
Meghalaya,81161,1693,78068,1400,2.09,96.19,1.72,3366710.00,1520.38,33481.00
Mizoram,93660,16841,76512,307,17.98,81.69,0.33,1239244.00,1113.65,22287.00
Nagaland,31219,365,30189,665,1.17,96.7,2.13,2249695.00,1028.59,27283.00
Odisha,1025874,5099,1012583,8192,0.5,98.7,0.8,46356334.00,29807.41,487805.00
Puducherry,126308,828,123640,1840,0.66,97.89,1.46,1413542.00,995.64,34433.00
Punjab,601600,290,584797,16513,0.05,97.21,2.74,30141373.00,19328.7,526376.00
Rajasthan,954322,76,945292,8954,0.01,99.05,0.94,81032689.00,55102.65,942586.00
Sikkim,31412,600,30425,387,1.91,96.86,1.23,690251.00,890.22,28723.00
Tamil Nadu,2662177,17192,2609435,35550,0.65,98.02,1.34,77841267.00,46408.28,1630208.00
Telengana,665749,4620,657213,3916,0.69,98.72,0.59,39362732.00,25501.16,861031.00
Tripura,84127,260,83054,813,0.31,98.72,0.97,4169794.00,3823.52,49845.00
Uttar Pradesh,1709800,159,1686749,22892,0.01,98.65,1.34,237882725.00,103943.39,1584764.00
Uttarakhand,343530,209,335927,7394,0.06,97.79,2.15,11250858.00,10384.25,245895.00
West Bengal,1568321,7580,1541963,18778,0.48,98.32,1.2,99609303.00,56319.38,1089898.00
